time,SP2206,HS2601,FF1107,HL1301,GC2408,LB0303,SE1208,LA1404,KA1406,WM0403,JP1906,SJ1006,ST0412,RJ1612,SL2009,AA0509,IV2507,PS2810,VK3004,SF2004,EF0410,FJ1809,AL1606,FY2803,BC0611,MJP1611,ZM311,BE1110,WB2110,HA2610,WV0510,KL1507,SC2404,HJ1011,KT1809,SJ0507,PE1605
0,0.47719648557239364,0.6115305419176055,0.5536142994613742,0.8976583971549917,1.0433029858799432,0.8748749782829632,0.8177447889359563,0.9453756050890457,1.0214375451015039,0.6915668661772058,1.4024845244304354,1.877261174175615,0.8446615994859336,1.040470197770667,1.500431741450863,0.8099873029398238,1.2024947470732894,1.3484537770291627,0.7600349139055921,1.1507746687681162,1.0099077468304567,0.8327550754108264,0.3763680204292744,0.2082220334766478,0.7852015787270026,0.9000363290572863,0.8582479007210193,1.420012937617142,0.9134665590605072,1.2495939350340437,1.0500130635587002,0.7416510928138117,0.5443698544107777,1.0253320119997167,0.9068398791467276,0.919591858000651,0.9666687453946571
5,0.8720985358850616,0.9594400293657523,0.8060604157659411,1.0177545715875553,1.2886273192503643,1.2727525007384877,1.2796568461577844,1.8211653412706004,1.162063503694478,1.0484475643284736,1.3932362081615293,1.9023610208405735,1.508437327458259,1.476242415969831,1.5724530703372528,1.05819740900041,1.4280433896783469,1.5859082898242256,0.867522066583435,1.5778888529206416,1.9012039665507214,0.9802766468857017,1.0882187442258309,1.113379366776006,1.0760538462625104,1.7710694741323216,1.4283163897622038,1.2184280335346538,1.6501236169827984,1.5054396675202404,1.2207016739554217,1.2935777393001742,0.5357515632306227,1.1919398608400964,1.1861632955715244,1.2293533980490052,1.077386362977003
10,1.1682004374182196,1.2353412462139453,1.0345961637450058,1.255713029309013,1.49004841995361,1.5551418764804388,1.7486438130458284,2.3398066906248163,1.360404809452384,1.3093229899340515,1.482534046645569,2.026725316779053,1.9389220980998352,1.8920011736734277,1.692063879535837,1.2337945807401212,1.6786175255335503,1.896459363685573,1.1121108725831188,1.9029419178538192,2.424626928580457,1.2062074634500652,1.594554309372228,1.898498212316636,1.3340366802819428,2.134518844823474,1.7809000293559867,1.212851258971563,2.122422100618348,1.7874181096296946,1.38237869737683,1.6407704759077755,0.8988235172231374,1.3375465734082437,1.42958065381032,1.4931351680096943,1.2226899638626936
15,1.3682915707403849,1.4313936883722955,1.2127571135190514,1.5347071487155595,1.6470264538737713,1.698622366566254,2.1056820621499357,2.4958907154976155,1.6492803071059767,1.506747622623509,1.7239828101631127,2.2829335714562564,2.07814309236473,2.250546258591708,1.8589650781961142,1.361901008319448,1.9520102638449788,2.296660996640822,1.4386042145119098,2.184616201084308,2.563982959365959,1.4558055621187227,1.8290559010318772,2.4045400484120845,1.53621649208469,2.0686466423927183,1.9432760606370947,1.4451954068851312,2.3140836697610347,2.0617299202296433,1.547515679485624,1.7949653285737937,1.5920821412173594,1.465719858923195,1.59472447374155,1.6588342787436923,1.3834757959564399
20,1.5526160355579384,1.619951501969375,1.3621228641656744,1.7397143884382225,1.8158364698554024,1.805323877935475,2.26002070436919,2.562050591687682,1.9925182187922297,1.7330073866728257,2.082886343561422,2.66179654135855,2.07525943631576,2.557616881243868,2.0760610144772254,1.53208913822302,2.243922805628177,2.750750698930814,1.7182091238394956,2.5577066391266836,2.5664791931733992,1.6358474528291829,1.9516221595899272,2.611930413846171,1.7131416380404005,2.0287017166472974,2.150386715996557,1.8176183965340778,2.4385980163671106,2.309300647894302,1.7384954783558106,1.962186770551009,2.248626549058631,1.6151929643344698,1.70871183626104,1.7454259708313982,1.5328050639804545
25,1.7703817733913827,1.8735667504762503,1.5461889831727673,1.9040003772584626,2.042127283007776,1.9886066149933148,2.31821504011525,2.751308687164548,2.3109642116304463,2.003641213017425,2.457729185802928,3.118571384414746,2.132715487698224,2.865247920160811,2.3606350818375277,1.784567635421699,2.544963783183693,3.1861250912062786,1.9420196344610274,3.0195453685923916,2.6442063821025332,1.7428979849719841,2.182722798064596,2.7110804683612737,1.9127536542749786,2.263181387212422,2.547878422010603,2.18721628322363,2.6898035553035253,2.5769918179354114,1.9618240745917264,2.3051841768566446,2.6113795764373218,1.8233419803324344,1.8810452901740473,1.8492457254920371,1.7008838311808325
30,1.9926315426380303,2.1697704372397157,1.782201152145355,2.112846559637823,2.287515937986622,2.247635728515203,2.472748832661109,3.0533756487118895,2.583426197066833,2.2632794449978655,2.7620492575670954,3.5496073191849606,2.3294683467029644,3.177077719873743,2.675105726406012,2.0601942367932073,2.8258007870085247,3.5157549171087727,2.1849132301582874,3.419770805173121,2.846042928295715,1.8288951518047785,2.546739712051389,2.888147326757365,2.1240575153771397,2.650329560157831,3.030164975814983,2.4392546858461923,3.0573386649893033,2.89279729350773,2.1980242115152686,2.774857470899842,2.7596560220542674,2.071983086552934,2.1719295953206785,2.0314991127414905,1.9386040947756336
35,2.1704671952733943,2.410049157544835,2.0135330362277744,2.3570418918588505,2.4714867870110706,2.503883018474327,2.7846247122288035,3.349283841743277,2.859601416727206,2.4748137510245445,2.976313668930594,3.846481709376084,2.600688971680797,3.4255363289338123,2.9371909523402864,2.263396224336537,3.068275006369981,3.7057470299972133,2.461262272742855,3.659642379237717,3.109113620774244,1.9258351311644655,2.898419774304499,3.155245311436536,2.296069131000263,2.977181440974344,3.4116356706138538,2.548330041407359,3.38611654498012,3.2081159493731066,2.4130254724635676,3.19407986988261,2.9200631867539935,2.296005733047096,2.509494325404229,2.260256866038136,2.23199408537339
40,2.2983915655495935,2.5254227974486945,2.181729394455214,2.570446981360206,2.575070379197705,2.7013534995625195,3.1488335604448556,3.5680020955992373,3.1619032562683778,2.635377189633476,3.1324231317127986,3.987702174141951,2.8406441949021826,3.5698699519997312,3.1138442429779327,2.358351475214368,3.268022946265599,3.8091926379187977,2.708116674617005,3.785043653053487,3.3432057905380788,2.038593169621867,3.13964555497567,3.4219894501304418,2.403802324906306,3.1819098521791362,3.6347980962774225,2.582787745810051,3.560039897489144,3.4622945223562467,2.583256587417538,3.4553556996028214,3.190267699754002,2.4490495180936604,2.781454824926772,2.4660286469593213,2.5038745036619185
45,2.4065933428065596,2.537256095967166,2.2839553999549924,2.7229830605660577,2.6562664636321642,2.8365317897651163,3.4338772203596166,3.713344513377198,3.446266504370121,2.7429854227896997,3.268466199358197,4.050147131433401,2.994020780175988,3.6529416582973497,3.236224831791157,2.391198786542548,3.4019842108324747,3.8952902897930497,2.874000892275318,3.8756054057166227,3.4853409517167266,2.148780074725894,3.2866931330358815,3.620900148639651,2.4640263427550817,3.3306903176990583,3.756706438931647,2.6203397175057583,3.5984567969517465,3.6431582311500477,2.7090100586358203,3.596006548670385,3.500288441210565,2.5340072493099837,2.9466019728706483,2.6069973772034554,2.7014664363828764
