time,SP2206,HS2601,FF1107,HL1301,GC2408,LB0303,SE1208,LA1404,KA1406,WM0403,JP1906,SJ1006,ST0412,RJ1612,SL2009,AA0509,IV2507,PS2810,VK3004,SF2004,EF0410,FJ1809,AL1606,FY2803,BC0611,MJP1611,ZM311,BE1110,WB2110,HA2610,WV0510,KL1507,SC2404,HJ1011,KT1809,SJ0507,PE1605
0,0.4772,0.6116,0.5536,0.8977,1.0433,0.8749,0.8178,0.9454,1.0214,0.6916,1.4025,1.8773,0.8447,1.0405,1.5005,0.81,1.2026,1.3485,0.76,1.1508,1.0099,0.8328,0.3764,0.2083,0.7852,0.9,0.8583,1.42,0.9135,1.2496,1.05,0.7417,0.5444,1.0254,0.9069,0.9196,0.9667
5,0.9299,0.8559,0.6661,0.619,1.1384,1.0412,0.9885,2.0516,1.0929,1.1562,1.4631,1.5759,1.4514,1.2926,1.4026,1.0962,1.2086,1.4811,0.56,1.446,2.2941,0.7487,0.7349,0.6795,0.7623,2.36,1.2264,1.07,1.6271,1.3845,1.23,1.273,0.3132,1.1303,1.1064,1.013,1.0389
10,1.1738,1.3808,1.1249,1.3958,1.6951,1.8368,1.8278,2.3593,1.561,1.348,1.4289,2.3648,2.0718,2.0169,1.7543,1.2964,1.8887,1.9575,1.22,2.325,2.2941,1.2614,1.9754,2.1711,1.68,2.03,2.2346,1.23,2.3422,1.7606,1.41,1.8185,0.8481,1.4216,1.3977,1.6427,1.1707
15,1.3769,1.3951,1.28,1.7606,1.5508,1.684,2.2924,2.4116,1.3321,1.3991,1.6715,2.1582,2.0831,2.311,2.0325,1.2715,1.936,2.3467,1.55,1.7745,2.439,1.6259,1.864,2.5587,1.4395,1.85,1.7037,1.59,2.164,2.2725,1.49,1.719,1.6245,1.4228,1.7707,1.7378,1.4805
20,1.4669,1.5807,1.2927,1.6181,1.8291,1.5917,2.2018,2.4616,2.1848,1.6727,2.1605,2.6267,1.9613,2.4942,1.8697,1.5567,2.1188,2.6526,1.73,2.625,2.6364,1.5376,1.7127,2.4662,1.6139,1.96,1.979,1.64,2.3943,2.1968,1.79,1.8424,2.4741,1.6555,1.6571,1.6409,1.5423
25,1.808,1.8453,1.4933,1.8216,1.9581,2.1025,2.2592,2.7966,2.3955,2.1573,2.4327,3.1354,2.1445,2.7971,2.3992,1.7561,2.5956,3.1934,1.84,3.049,2.6386,1.6898,2.1388,2.6281,1.9737,2.35,2.6887,2.27,2.7046,2.4795,1.93,2.3602,2.5399,1.7263,1.7329,1.8115,1.6364
30,2.0325,2.1968,1.839,2.1272,2.3834,2.301,2.4318,3.1165,2.4322,2.2046,2.7724,3.5584,2.3739,3.2231,2.7007,2.0688,2.9649,3.6096,2.18,3.5139,2.7724,1.8869,2.7212,2.939,2.148,2.71,3.0355,2.49,3.0351,3.0025,2.19,2.7493,2.6728,2.1372,2.2552,2.1087,1.943
35,2.1445,2.4557,2.0324,2.4506,2.4707,2.4078,2.8163,3.3248,2.875,2.4365,2.9805,3.8854,2.5581,3.4787,2.9859,2.3213,2.8632,3.6776,2.51,3.6338,3.2809,1.9663,2.9082,3.1931,2.264,3.0,3.5034,2.51,3.4801,3.1985,2.45,3.2956,2.8706,2.3281,2.5632,2.2178,2.2118
40,2.2975,2.4837,2.1443,2.5191,2.5754,2.7767,3.1838,3.5698,3.2208,2.6817,3.115,3.9671,2.9033,3.5656,3.0888,2.3357,3.3558,3.7651,2.71,3.6911,3.1368,1.9224,3.0419,3.4393,2.4213,3.11,3.4912,2.56,3.5343,3.4427,2.57,3.4302,3.286,2.4001,2.7373,2.49,2.5833
45,2.4286,2.5624,2.3314,2.7036,2.6255,2.8242,3.4324,3.6968,3.3809,2.7134,3.2677,4.0427,2.9489,3.5832,3.167,2.3591,3.4154,3.8469,2.86,3.895,3.6123,2.2197,3.3112,3.5309,2.4807,3.36,3.7981,2.6,3.5751,3.6648,2.7,3.5374,3.477,2.5378,2.9616,2.6047,2.6688
